Cycle 64, cell 229 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 897, cell 4350 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 898, cell 4787 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 898, cell 4790 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 898, cell 4547 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 898, cell 3583 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 898, cell 3884 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 898, cell 3231 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 899, cell 4839 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 899, cell 4237 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 899, cell 4418 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 899, cell 4300 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 899, cell 4754 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 900, cell 4686 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 900, cell 2883 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 900, cell 4261 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 900, cell 3967 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 900, cell 3934 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 900, cell 4644 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 900, cell 3411 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 900, cell 3815 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 900, cell 4510 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 900, cell 3805 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 901, cell 4925 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 901, cell 4412 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 901, cell 4817 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 901, cell 3861 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 902, cell 3799 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 902, cell 4229 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 902, cell 4178 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 902, cell 4779 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 902, cell 4654 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 902, cell 3316 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 902, cell 4707 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 903, cell 4496 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 903, cell 4305 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 903, cell 4075 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 903, cell 4433 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 903, cell 4865 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 903, cell 4055 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 903, cell 3626 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 903, cell 4582 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 903, cell 4176 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 903, cell 4383 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 904, cell 4138 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 904, cell 3836 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 904, cell 4521 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 904, cell 4711 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 904, cell 4114 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 904, cell 4435 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 904, cell 4335 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 904, cell 4275 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 904, cell 4052 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 905, cell 3431 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 905, cell 4938 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 905, cell 3882 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 905, cell 4548 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 905, cell 3963 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 905, cell 3956 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 905, cell 4745 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 905, cell 3415 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 4682 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 3705 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 4864 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 3393 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 4596 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 4917 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 2708 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 4315 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 3203 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 4676 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 4301 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 4122 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 906, cell 3864 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 907, cell 5056 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 907, cell 4871 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 907, cell 4630 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 907, cell 4588 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 907, cell 4161 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 908, cell 5027 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 908, cell 4019 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 908, cell 4931 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 908, cell 3946 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 908, cell 4222 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 908, cell 4965 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 908, cell 4770 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 908, cell 3670 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 909, cell 3364 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 909, cell 4006 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 909, cell 4708 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 909, cell 4873 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 909, cell 4484 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 909, cell 4954 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 910, cell 3017 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 910, cell 4527 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 910, cell 4225 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 911, cell 3868 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 911, cell 4509 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 911, cell 4127 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 911, cell 4520 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 911, cell 5089 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 912, cell 4897 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 912, cell 4304 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 912, cell 3971 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 912, cell 4284 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 912, cell 4330 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 912, cell 3538 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 913, cell 4456 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 913, cell 4566 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 913, cell 5175 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 914, cell 4256 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 914, cell 4417 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 914, cell 4322 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 914, cell 4206 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 914, cell 4431 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 914, cell 5244 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 914, cell 3778 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 914, cell 3551 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 914, cell 4395 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 914, cell 4442 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 915, cell 4200 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 915, cell 4215 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 915, cell 4101 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 915, cell 4942 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 916, cell 4468 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 916, cell 5007 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 916, cell 4254 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 917, cell 4213 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 917, cell 5087 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 917, cell 5059 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 917, cell 4845 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 917, cell 4452 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 917, cell 4067 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 918, cell 3821 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 918, cell 4562 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 918, cell 4649 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 918, cell 4517 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 918, cell 4115 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 918, cell 4480 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 918, cell 4546 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 918, cell 3909 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 918, cell 4199 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 918, cell 4671 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 918, cell 3923 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 919, cell 4624 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 919, cell 4879 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 919, cell 3125 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 919, cell 4551 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 919, cell 3614 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 919, cell 4704 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 919, cell 3894 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 919, cell 4135 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 919, cell 4574 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 919, cell 3577 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 919, cell 4640 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 920, cell 4775 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 920, cell 4913 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 920, cell 4604 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 920, cell 5067 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 920, cell 5082 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 920, cell 5147 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 920, cell 4366 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 920, cell 4072 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 921, cell 4352 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 921, cell 4191 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 921, cell 4272 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 921, cell 4086 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 921, cell 4193 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 921, cell 4851 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 922, cell 4903 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 922, cell 4863 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 922, cell 4515 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 922, cell 4160 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 922, cell 3803 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 922, cell 5055 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 922, cell 4658 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 922, cell 4423 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 923, cell 4490 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 924, cell 3047 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 924, cell 4690 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 924, cell 3811 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 924, cell 3110 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 924, cell 4346 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 924, cell 4683 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 925, cell 5057 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 925, cell 4868 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 925, cell 4298 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 925, cell 4625 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 925, cell 4291 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 925, cell 5208 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 926, cell 4069 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 926, cell 4410 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 926, cell 4699 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 926, cell 4015 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 926, cell 4995 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 926, cell 3785 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 926, cell 4503 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 926, cell 4782 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 927, cell 3345 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 927, cell 4231 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 927, cell 4268 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 927, cell 4756 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 927, cell 5093 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 927, cell 3535 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 928, cell 4823 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 928, cell 4493 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 928, cell 3920 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 928, cell 4494 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 929, cell 4763 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 929, cell 5021 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 929, cell 4578 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 929, cell 3483 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 929, cell 4920 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 929, cell 4419 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 929, cell 4565 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 929, cell 4253 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 929, cell 4896 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 930, cell 4990 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 930, cell 3301 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 930, cell 4576 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 930, cell 4353 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 930, cell 4623 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 930, cell 4506 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 930, cell 3954 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 931, cell 4255 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 931, cell 3918 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 931, cell 5011 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 931, cell 4162 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 931, cell 4371 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 931, cell 4523 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 931, cell 5046 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 931, cell 5300 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 932, cell 3752 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 932, cell 4152 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 932, cell 3749 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 932, cell 4677 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 932, cell 4710 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 932, cell 4278 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 932, cell 4916 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 932, cell 4219 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 932, cell 4785 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 932, cell 4531 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 933, cell 5044 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 933, cell 4155 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 933, cell 3358 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 933, cell 5069 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 933, cell 3676 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 934, cell 4813 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 934, cell 3391 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 934, cell 4168 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 934, cell 4130 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 934, cell 4983 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 934, cell 5145 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 934, cell 4426 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 934, cell 4287 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 935, cell 3608 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 935, cell 5125 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 935, cell 4008 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 935, cell 4635 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 935, cell 4695 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 935, cell 5295 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 935, cell 4619 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 936, cell 4898 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 936, cell 3730 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 936, cell 4250 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 936, cell 4960 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 936, cell 4391 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 936, cell 4844 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 936, cell 5288 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 936, cell 4773 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 936, cell 4584 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 936, cell 3847 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 936, cell 4377 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 937, cell 3714 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 937, cell 4188 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 937, cell 4945 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 938, cell 5498 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 938, cell 5223 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 938, cell 5287 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 938, cell 4922 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 938, cell 4927 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 939, cell 3120 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 939, cell 5025 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 939, cell 3642 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 939, cell 3842 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 940, cell 5001 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 940, cell 4996 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 940, cell 4612 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 940, cell 4483 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 940, cell 4312 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 940, cell 4399 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 940, cell 4085 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 940, cell 3519 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 941, cell 4815 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 941, cell 4039 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 941, cell 4401 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 942, cell 4274 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 942, cell 4554 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 942, cell 4145 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 942, cell 5118 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 942, cell 3848 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 942, cell 4171 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 942, cell 4949 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 943, cell 4102 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
